date,active,days,klci,above50,above200,vol20,breadth,churn,switched
2026-07-08,CHOPPY,3,1683.6,False,True,9.0,49.0,0.0,False
2026-07-09,CHOPPY,6,1677.6,False,False,9.1,53.9,0.15,False
2026-07-10,CHOPPY,10,1691.5,False,True,9.6,61.5,0.1,False
2026-07-13,CHOPPY,12,1698.4,False,True,9.6,55.6,0.35,False
2026-07-14,CHOPPY,14,1719.9,True,True,10.5,60.8,0.35,False
2026-07-16,CHOPPY,16,1722.2,True,True,10.0,57.3,0.0,False
2026-07-17,CHOPPY,17,1731.4,True,True,10.2,67.3,0.39,False
2026-07-21,CHOPPY,18,1731.4,True,True,10.2,55.6,0.53,False
2026-07-22,CHOPPY,20,1711.4,True,True,9.2,58.3,0.21,False
2026-07-24,TRENDING,2,1701.0,True,True,8.7,58.9,0.0,False
2026-07-28,TRENDING,3,1701.0,True,True,8.7,51.9,0.24,False
2026-07-29,TRENDING,4,1713.1,True,True,8.9,51.9,0.0,False
2026-07-30,TRENDING,5,1712.5,True,True,8.9,52.6,0.26,False
2026-07-31,CHOPPY,1,1715.6,True,True,8.6,47.8,0.26,True
2026-08-04,CHOPPY,3,1732.7,True,True,8.0,58.7,0.53,False
2026-08-05,CHOPPY,4,1748.2,True,True,8.5,64.0,0.45,False
2026-08-06,CHOPPY,5,1735.1,True,True,8.9,64.2,0.25,False
2026-08-07,TRENDING,1,1735.8,True,True,8.4,64.7,0.25,True
2026-08-10,TRENDING,2,1735.4,True,True,8.4,63.2,0.1,False
